NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,15-01-0001-41,15-002,BAJA VERAPAZ,SALAMA,COPB ANEXO A EORM,ALDEA EL TEMPISQUE,,MIGUEL ANGEL ATZIJ PICON,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-01-0002-42,15-011,BAJA VERAPAZ,SALAMA,EODP DEL CENTRO DE BIENESTAR SOCIAL,BARRIO AGUA CALIENTE,,SANTOS BALTAZAR CEBALLOS,,PARVULOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-01-0003-42,15-002,BAJA VERAPAZ,SALAMA,EODP NO. 4,BARRIO LAS PIEDRECITAS,53574739,MIGUEL ANGEL ATZIJ PICON,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-01-0004-42,,BAJA VERAPAZ,SALAMA,EODP NO. 3,BARRIO HACIENDA DE LA VIRGEN,,,,PARVULOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-01-0005-42,15-002,BAJA VERAPAZ,SALAMA,EODP NO. 1,5A. CALLE 8-70 ZONA 1,56213249,MIGUEL ANGEL ATZIJ PICON,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-01-0006-42,15-001,BAJA VERAPAZ,SALAMA,COLEGIO PARTICULAR MIXTO TEZULUTLÁN,"DIAGONAL 4, 1-24 ZONA 2",79400182,EDGAR LEONEL RAMIREZ GONZALEZ,ELIA NÍVEA LÓPEZ DE SAGASTUME,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-01-0007-42,15-030,BAJA VERAPAZ,SALAMA,ANEXA A LICEO MIXTO 'SAN MATEO',9A. AVE. 6-67 ZONA 1,79401926,NELSON JOEL HERNANDEZ HERNANDEZ,FRANCISCA PAPE DE VANEGAS,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-01-0008-43,15-002,BAJA VERAPAZ,SALAMA,EOUM,BARRIO AGUA CALIENTE,54177534,MIGUEL ANGEL ATZIJ PICON,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-01-0009-43,15-030,BAJA VERAPAZ,SALAMA,LICEO MIXTO 'SAN MATEO',9A. AVE. 6-67 ZONA 1,79401926,NELSON JOEL HERNANDEZ HERNANDEZ,FRANCISCA PAPE DE VANEGAS,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-01-0010-43,15-001,BAJA VERAPAZ,SALAMA,COLEGIO PARTICULAR MIXTO 'TEZULUTLAN',DIAGONAL 4 1-24 ZONA 2,79400182,EDGAR LEONEL RAMIREZ GONZALEZ,ELIA NÍVEA LÓPEZ DE SAGASTUME,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-01-0011-43,15-005,BAJA VERAPAZ,SALAMA,EORM,ALDEA CHILASCÓ,41502575,MARVIN ESTUARDO REYES GUZMAN,VERONICA CLAUDINA RAMÍREZ SANCHEZ DE SOBERANIS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-01-0012-43,15-003,BAJA VERAPAZ,SALAMA,EORM,ALDEA LAS LIMAS,57324044,DARVIN ROBERTO PEREZ RODRIGUEZ,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-01-0013-43,15-005,BAJA VERAPAZ,SALAMA,EORM,ALDEA NIÑO PERDIDO,,MARVIN ESTUARDO REYES GUZMAN,OLGA MAGALY LÓPEZ PELÁEZ DE FIDALGO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-01-0014-43,15-003,BAJA VERAPAZ,SALAMA,EORM,ALDEA LOS PINOS,79401272,DARVIN ROBERTO PEREZ RODRIGUEZ,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-01-0015-43,15-004,BAJA VERAPAZ,SALAMA,EORM,ALDEA SANTA INES CHIVAC,48312746,AMNER ESAU FERNANDEZ LOPEZ,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-01-0016-43,15-002,BAJA VERAPAZ,SALAMA,EORM,ALDEA EL TEMPISQUE,,MIGUEL ANGEL ATZIJ PICON,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-01-0017-43,15-002,BAJA VERAPAZ,SALAMA,EOUN TIPO FEDERACION 'JOSE CLEMENTE CHAVARRIA',BARRIO HACIENDA DE LA VIRGEN,55541558,MIGUEL ANGEL ATZIJ PICON,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
