NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,00-01-0001-42,01-317,CIUDAD CAPITAL,ZONA 1,EODP NO.20 'ANTONIO JOSE DE IRISARRI',19 CALLE 12-71,22324443,MARIANO DOMINGO ESTRADA TELETOR,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
,00-01-0002-42,01-317,CIUDAD CAPITAL,ZONA 1,EODP NO.21 GABRIELA MISTRAL,19 CALLE 12-71,22324443,MARIANO DOMINGO ESTRADA TELETOR,LILIAN NOHEMI SOTO VALDEZ DE MARROQUIN,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
,00-01-0003-42,01-317,CIUDAD CAPITAL,ZONA 1,EODP NO. 36 LA PRESIDENTA,2A AVE. Y 22 CALLE TERCER NIVEL MERCADO LA PRESIDENTA,55161115,MARIANO DOMINGO ESTRADA TELETOR,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
,00-01-0004-42,01-301,CIUDAD CAPITAL,ZONA 1,EODP NO.30 OTILIA NUÑEZ ARIZA,"12 CALLE ""A"" 14-56 BARRIO GERONA",22539326,ERICK ESTUARDO SANCHEZ ARCHILA,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
,00-01-0005-42,01-307,CIUDAD CAPITAL,ZONA 1,"ESCUELA OFICIAL PARA PARVULOS NO.8 ""OVIDIO DECROLY""",3A CALLE 16-73,22203623,NORMA ARACELY PALOMO FRANCO DE DIAZ,MARIA MERCEDES VIÑALS PÉREZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
,00-01-0006-42,01-312,CIUDAD CAPITAL,ZONA 1,EODP NO.1 'RAMONA GIL',2A. CALLE 4-28,22300572,AMADO SALOMON FLORES PEREZ,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
,00-01-0007-42,01-318,CIUDAD CAPITAL,ZONA 1,EODP NO.38 DEL CENTRO DE BIENESTAR SOCIAL COLON,7A CALLE 12-67,22518854,LESLIE AZUCENA MONZON TECUN,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
,00-01-0008-42,01-307,CIUDAD CAPITAL,ZONA 1,EODP NO.12 LEONOR CIENFUEGOS,3A CALLE 0-72,22381458,NORMA ARACELY PALOMO FRANCO DE DIAZ,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
,00-01-0009-42,01-305,CIUDAD CAPITAL,ZONA 1,EODP NO.61 DEL CENTRO DE BIENESTAR SOCIAL NO.1,AVENIDA BOLIVAR 25-00,22323833,ISIS IRAZEMA CANEL PALMA,,PARVULOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
,00-01-0011-42,01-318,CIUDAD CAPITAL,ZONA 1,SOCIEDAD PROTECTORA DEL NIÑO 'CASA DEL NIÑO' NO.1,2A AVE. 8-74,24917527,LESLIE AZUCENA MONZON TECUN,,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
