NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,02-01-0001-42,02-014,EL PROGRESO,GUASTATOYA,EODP GABRIELA MISTRAL,BARRIO LA DEMOCRACIA,56203495,SONIA IVANIA COROY CASTAÑEDA,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
,02-01-0002-42,02-014,EL PROGRESO,GUASTATOYA,EODP,BARRIO EL GOLFO,79451335,SONIA IVANIA COROY CASTAÑEDA,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
,02-01-0004-43,02-014,EL PROGRESO,GUASTATOYA,EOUM TIPO FEDERACION,BARRIO EL PORVENIR,79451057,SONIA IVANIA COROY CASTAÑEDA,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
,02-01-0005-42,02-014,EL PROGRESO,GUASTATOYA,EODP ANEXA A EOUM,COLONIA NUEVA VIDA,56252333,SONIA IVANIA COROY CASTAÑEDA,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
,02-01-0005-43,02-014,EL PROGRESO,GUASTATOYA,EOUM,COLONIA NUEVA VIDA,42958673,SONIA IVANIA COROY CASTAÑEDA,MYNOR FRANCISCO GARCA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
,02-01-0006-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA EL SUBINAL,57742119,SONIA IVANIA COROY CASTAÑEDA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
,02-01-0007-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA PALO AMONTONADO,,SONIA IVANIA COROY CASTAÑEDA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
,02-01-0008-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA ANSHAGUA,33843226,SONIA IVANIA COROY CASTAÑEDA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
,02-01-0009-42,02-014,EL PROGRESO,GUASTATOYA,EODP SANTA LUCIA,ALDEA SANTA LUCIA,47169748,SONIA IVANIA COROY CASTAÑEDA,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
,02-01-0009-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA SANTA LUCIA,55912014,SONIA IVANIA COROY CASTAÑEDA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
,02-01-0010-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA CHILZAPOTE,,SONIA IVANIA COROY CASTAÑEDA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
,02-01-0011-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA SAN RAFAEL,32915330,SONIA IVANIA COROY CASTAÑEDA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
,02-01-0012-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA TIERRA BLANCA,42406215,SONIA IVANIA COROY CASTAÑEDA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
,02-01-0013-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA PATACHE,32247840,SONIA IVANIA COROY CASTAÑEDA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
,02-01-0014-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA LAS MORALES,58357781,SONIA IVANIA COROY CASTAÑEDA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
,02-01-0015-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA CASAS VIEJAS,79451767,SONIA IVANIA COROY CASTAÑEDA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
,02-01-0016-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA SANTA RITA,49149244,SONIA IVANIA COROY CASTAÑEDA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
