NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,13-01-0001-42,13-001,HUEHUETENANGO,HUEHUETENANGO,EODP ANEXA A ESCUELA TIPO FEDERACION 'CARLOS A. CALDERON T.',CANTON SAN JOSE,77690695,HUGO GONZÁLEZ SALVADOR,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
,13-01-0002-42,13-001,HUEHUETENANGO,HUEHUETENANGO,EODP ANEXA A ESCUELA 'EL CALVARIO',"2A AV. ""A"" 4-53 ZONA 3 EL CALVARIO",51657318,HUGO GONZÁLEZ SALVADOR,JORGE LUIS RIVAS DE LEÓN,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
,13-01-0003-42,13-001,HUEHUETENANGO,HUEHUETENANGO,EODP ANEXA AL CENTRO DE BIENESTAR SOCIAL,"12ª AVENIDA 7-30 ZONA 5 COLONIA ""LA HONDONADA""",31662735,HUGO GONZÁLEZ SALVADOR,MIRZA YOJANA LÓPEZ BRIONES,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
,13-01-0004-42,13-001,HUEHUETENANGO,HUEHUETENANGO,"EODP ""EDELMIRA MAURICIO""",3ª.CALLE 3-39 ZONA 1,77641013,HUGO GONZÁLEZ SALVADOR,BRENDA EUNICE HERRERA AFRE DE GONZÁLEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
,13-01-0005-42,13-001,HUEHUETENANGO,HUEHUETENANGO,COLEGIO PRIVADO EVANGELICO MIXTO 'LA AURORA',5A CALLE 5-47 ZONA 1,77641328,HUGO GONZÁLEZ SALVADOR,,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
,13-01-0006-43,13-001,HUEHUETENANGO,HUEHUETENANGO,"EOUM JM TIPO FEDERACION ""CARLOS CALDERON TARACENA ""","CANTÓN SAN JOSÉ, ZONA 5",77690695,HUGO GONZÁLEZ SALVADOR,JORGE LUIS HERNÁNDEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
,13-01-0007-43,13-001,HUEHUETENANGO,HUEHUETENANGO,EOUV 'DOMINGO MORALES',2A CALLE 6-83 ZONA 1,41233351,HUGO GONZÁLEZ SALVADOR,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
,13-01-0008-43,13-001,HUEHUETENANGO,HUEHUETENANGO,"EOUN NO. 2 ""JACINTA MOLINA""",3A. CALLE 3-09 ZONA 1,77640259,HUGO GONZÁLEZ SALVADOR,MAHALY ESTER DEL PILAR ROBLERO MAZARIEGOS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
,13-01-0009-43,13-001,HUEHUETENANGO,HUEHUETENANGO,EOUM 'MINERVA' KAIBIL BALAM,"1A. AVE. ZONA 2, COLONIA PANAMA",77642208,HUGO GONZÁLEZ SALVADOR,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
,13-01-0010-43,13-001,HUEHUETENANGO,HUEHUETENANGO,"ESCUELA OFICIAL URBANA DE NIÑAS NO.1 ""AMALIA CHÁVEZ""",5A. AVE. 3-59 ZONA 1,77641934,HUGO GONZÁLEZ SALVADOR,LUIS FELIPE MOLINA RIVAS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
,13-01-0011-43,13-001,HUEHUETENANGO,HUEHUETENANGO,EOUM 'EL CALVARIO',2A. AVENIDA 'A' 4-53 ZONA 3 EL CALVARIO,31416065,HUGO GONZÁLEZ SALVADOR,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
,13-01-0012-43,13-001,HUEHUETENANGO,HUEHUETENANGO,"EOUV NO.1 ""SALVADOR OSORIO""",2A. CALLE 7-26 ZONA 1,77641669,HUGO GONZÁLEZ SALVADOR,DIMAS NOÉ MORALES,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
,13-01-0013-43,13-001,HUEHUETENANGO,HUEHUETENANGO,COLEGIO DE LA SALLE,10A AVENIDA DE LA SALLE 10-00 ZONA 1,77681510,HUGO GONZÁLEZ SALVADOR,,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
,13-01-0014-43,13-001,HUEHUETENANGO,HUEHUETENANGO,"COLEGIO PRIVADO MIXTO ""SAN LORENZO""",5A. CALLE 1ER ACCESO 5-75 ZONA 5,77646479,HUGO GONZÁLEZ SALVADOR,LILIAN IVETH GALICIA AVILA DE MARTÍNEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
,13-01-0015-43,13-001,HUEHUETENANGO,HUEHUETENANGO,LICEO Y ACADEMIA ADVENTISTA 'DIEGUEZ OLAVERRI',EL TERRERO ZONA 4,79345408,HUGO GONZÁLEZ SALVADOR,,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
,13-01-0016-43,13-001,HUEHUETENANGO,HUEHUETENANGO,COLEGIO PRIVADO EVANGELICO MIXTO 'LA AURORA',5A. CALLE 5-47 ZONA 1,77641328,HUGO GONZÁLEZ SALVADOR,,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
