NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,21-01-0001-42,21-001,JALAPA,JALAPA,EODP 'MARIA ISABEL LIMA ZAPATA',BARRIO SAN FRANCISCO,55326692,NORA ALCIDA VELASQUEZ AGUILAR,SONIA ELIZABETH VALDÉZ Y VALDÉZ DE RODAS,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
,21-01-0004-42,21-004,JALAPA,JALAPA,COLEGIO ADVENTISTA MORIA,"2DA. AVENIDA ""A"" 0-84 ZONA 2 BARRIO SAN FRANCISCO",79222901,VICTOR MANUEL PORTILLO RECINOS,WIDMER RONEL PAZ COLINDRES,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
,21-01-0005-42,21-004,JALAPA,JALAPA,"COLEGIO ""EL PORVENIR"" ANEXO AL INSTITUTO PRIVADO DE EDUCACION DIVERSIFICADA EL PORVENIR","4A. AVENIDA 2-66, ZONA 2 BARRIO SAN FRANCISCO",79224958-79223033,VICTOR MANUEL PORTILLO RECINOS,BERTA CORALIA GALLARDO SOLIS DE PINEDA,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
,21-01-0006-42,21-004,JALAPA,JALAPA,"COLEGIO PARTICULAR MIXTO ""LICEO JALAPA""",CALLE TRANSITO ROJAS 7-60 ZONA 1 BARRIO LA DEMOCRACIA,79220013,VICTOR MANUEL PORTILLO RECINOS,JÁCQUELIN ELIZABETH FABIÁN GONZÁLEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
,21-01-0009-43,21-004,JALAPA,JALAPA,"COLEGIO PARTICULAR MIXTO ""LICEO JALAPA ""","CALLE TRÁNSITO ROJAS 7-60 ZONA 1, BARRIO LA DEMOCRACIA",79220013,VICTOR MANUEL PORTILLO RECINOS,JÁCQUELIN ELIZABETH FABIÁN GONZÁLEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
,21-01-0010-43,21-004,JALAPA,JALAPA,COLEGIO ADVENTISTA MORIA,"2A. AVENIDA ""A"" 0-84, ZONA 2 BARRIO SAN FRANCISCO",79222901,VICTOR MANUEL PORTILLO RECINOS,WIDMER RONEL PAZ COLINDRES,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
,21-01-0012-43,21-004,JALAPA,JALAPA,"COLEGIO ""EL PORVENIR"" ANEXO AL INSTITUTO PRIVADO DE EDUCACION DIVERSIFICADA EL PORVENIR","4A. AVENIDA 2-66, ZONA 2 BARRIO SAN FRANCISCO",79223033,VICTOR MANUEL PORTILLO RECINOS,BERTA CORALIA GALLARDO SOLIS DE PINEDA,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
,21-01-0013-43,21-001,JALAPA,JALAPA,"ESCUELA OFICIAL URBANA PARA NIÑAS ""BERTA JUDITH FRANCO BONILLA""","2A. CALLE ""C"" 2-17 ZONA 2, BARRIO SAN FRANCISCO",79225101,NORA ALCIDA VELASQUEZ AGUILAR,RONY ELMER UCELO SOTO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
,21-01-0014-43,21-001,JALAPA,JALAPA,EOUV DE APLICACION ANEXA A INCAV,BARRIO SAN FRANCISCO,79228101,NORA ALCIDA VELASQUEZ AGUILAR,CLAUDIA VIOLETA MELGAR CABRERA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
,21-01-0015-43,21-001,JALAPA,JALAPA,EOUM,BARRIO CHIPILAPA,79222261,NORA ALCIDA VELASQUEZ AGUILAR,LUIS ESTUARDO RUANO RECINOS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
,21-01-0016-43,21-001,JALAPA,JALAPA,EOUV NO. 1,"CALLE TRANSITO ROJAS 7-18, ZONA 6",79224058,NORA ALCIDA VELASQUEZ AGUILAR,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
,21-01-0017-43,21-001,JALAPA,JALAPA,EOUN EL PORVENIR,"CALLE TRANSITO ROJAS 5-64 ZONA 3, BARRIO EL PORVENIR",79223660,NORA ALCIDA VELASQUEZ AGUILAR,WUILBER RANDOLFO LIMA ALFARO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
,21-01-0018-43,21-001,JALAPA,JALAPA,EOUN NO. 1,"CALLE TRANSITO ROJAS 7-18, ZONA 6 BARRIO LA DEMOCRACIA",79220713,NORA ALCIDA VELASQUEZ AGUILAR,GLENDA YANETH CASTRO SANDOVAL DE NAJERA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
,21-01-0019-43,21-001,JALAPA,JALAPA,ESCUELA OFICIAL URBANA PARA NIÑAS TIPO FEDERACIÓN LUIS MARTÍNEZ MONT,BARRIO SAN FRANCISCO,40718840,NORA ALCIDA VELASQUEZ AGUILAR,ERICKA NOHEMÍ GALICIA JIMÉNEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
,21-01-0020-43,21-001,JALAPA,JALAPA,EOUV TIPO FEDERACION LUIS MARTINEZ MONT,6A. AVENIDA 3-50 ZONA 2 BARRIO SAN FRANCISCO,51727705,NORA ALCIDA VELASQUEZ AGUILAR,HEBERT DEYWINZZON VASQUEZ LOPEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
,21-01-0021-43,21-001,JALAPA,JALAPA,EOUM,COLONIA LINDA VISTA,79225001,NORA ALCIDA VELASQUEZ AGUILAR,ANA EUGENIA LEMUS CHÁVEZ MARCOS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
,21-01-0022-43,21-022,JALAPA,JALAPA,EORM,ALDEA ARLOROMA,46881631,LESBIA LETICIA SOLIS LIMA DE LEON,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
,21-01-0023-43,21-005,JALAPA,JALAPA,EORM,"CASERÍO EL DIVISADERO, ALDEA SASHICO",32742774,VICTOR MANUEL PORTILLO RECINOS,EDWIN NEFTALÍ ESCOBAR GONZÁLEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
