NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,22-01-0001-42,22-037,JUTIAPA,JUTIAPA,EODP EUSEBIA AUCEDA VDA.DE PADILLA,"3A. AVENIDA 3-24 ZONA 3, BARRIO LA TERMINAL",78444238,REMBERTO RECINOS SARCEÑO,MIRIAM ROSSANA ORTEGA MORALES,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0002-42,22-001,JUTIAPA,JUTIAPA,EODP,BARRIO EL CONDOR,78443473,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0003-42,22-001,JUTIAPA,JUTIAPA,LICEO 'JUTIAPA',4A. CALLE 1-53 ZONA 1,78441008,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0004-42,22-001,JUTIAPA,JUTIAPA,EODP ANEXA A EOUM LORENZO MONTUFAR,5A. CALLE 4-71 ZONA 1,78441846,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0005-42,22-001,JUTIAPA,JUTIAPA,COLEGIO 'TECNICO PROFESIONAL SAN CRISTOBAL',7A. CALLE 5-30 ZONA 1 BARRIO LATINO,78591186,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0006-42,22-001,JUTIAPA,JUTIAPA,COLEGIO PARTICULAR MIXTO SAN MIGUEL,2A. CALLE 5-98 ZONA 3,77270508,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,MERCY KARLENY LIMA LEONARDO,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0007-42,22-037,JUTIAPA,JUTIAPA,COLEGIO EVANGELICO VIDA NUEVA,ENTRADA AL COMPLEJO EDUCATIVO 0-16 BARRIO EL CONDOR ZONA 3,78441907,REMBERTO RECINOS SARCEÑO,MARCELA PACHECO GARCIA,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0008-45,22-014,JUTIAPA,JUTIAPA,INEB CON ORIENTACION OCUPACIONAL LIC. MARIO E. NAJERA FARFAN,"COMPLEJO EDUCATIVO, BARRIO EL CONDOR",78441126,MARCO TULIO CASTILLO MELGAR,,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0010-45,22-037,JUTIAPA,JUTIAPA,COLEGIO EVANGELICO VIDA NUEVA,ENTRADA AL COMPLEJO EDUCATIVO 0-16 BARRIO EL CONDOR ZONA 3,78441907,REMBERTO RECINOS SARCEÑO,ROSMERI LLANETH MATEO LÓPEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0011-42,22-001,JUTIAPA,JUTIAPA,INSTITUTO TECNOLOGICO BILINGUE,9A. AVE. 7-59 ZONA 1,78441231,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,ISAURA EUGENIA YANES RAMIREZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0012-43,22-003,JUTIAPA,JUTIAPA,EOUV TIPO FEDERACION SALOMON CARRILLO RAMIREZ,BARRIO LA FEDERAL,78440089,SANDRA NINETH BONILLA ARCHILA,RODOLFO EDUARDO ALAY,PRIMARIA,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0013-45,22-001,JUTIAPA,JUTIAPA,IPMB LICEO JUTIAPA,4A. CALLE 1-53 ZONA 1,78441008,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0014-46,22-013,JUTIAPA,JUTIAPA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,"COMPLEJO EDUCATIVO, BARRIO EL CONDOR",78441241,RONY ESMELTZER RAMOS QUIÑONEZ,,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0015-45,,JUTIAPA,JUTIAPA,IPMB COLEGIO 'MODERNO JUTIAPANECO',3A AVENIDA 4-66 ZONA 1,,,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0015-46,,JUTIAPA,JUTIAPA,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO 'MODERNO JUTIAPANECO',3A. AVENIDA 4-66 ZONA 1,,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0016-45,22-001,JUTIAPA,JUTIAPA,IPMB COLEGIO SAN MIGUEL,2A. CALLE 5-98 ZONA 3,77270508,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,GREDY ESQUIVEL VÁLDEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0017-45,22-037,JUTIAPA,JUTIAPA,COLEGIO TECNICO PROFESIONAL SAN CRISTOBAL,7A. CALLE 5-30 ZONA 1,78441530,REMBERTO RECINOS SARCEÑO,DELMY ASTRID MÉNDEZ POLANCO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0017-46,22-037,JUTIAPA,JUTIAPA,COLEGIO TECNICO PROFESIONAL SAN CRISTOBAL,7A. CALLE 5-30 ZONA 1,78441530,REMBERTO RECINOS SARCEÑO,DELMY ASTRID MÉNDEZ POLANCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0018-46,99-001,JUTIAPA,JUTIAPA,INSTITUTO TECNICO DE CIENCIAS ADMINISTRATIVAS Y COMPUTACION INTECIADCOM,7A. AV. 8-80 ZONA 1 BARRIO LATINO,78442122,SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0019-46,22-001,JUTIAPA,JUTIAPA,INSTITUTO TECNICO PARTICULAR DE DIVERSIFICADO -INTECPADI-,"5A. CALLE 5-43, ZONA 1",78442296,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0020-46,22-001,JUTIAPA,JUTIAPA,COLEGIO PARTICULAR MIXTO DE MAGISTERIO,1A. AVENIDA 4-64 ZONA 1,78442157,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,ISRAEL JOSUE VASQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0022-46,22-037,JUTIAPA,JUTIAPA,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA DE MERCADOTECNIA Y PUBLICIDAD DE ORIENTE,5A. AV. 7-35 ZONA 1,78441530,REMBERTO RECINOS SARCEÑO,JORGE MARIO AGUILAR RETANA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JUTIAPA
,22-01-0023-43,22-001,JUTIAPA,JUTIAPA,EOUV LORENZO MONTUFAR,"5A. CALLE 4-61, ZONA 1",56978714,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0024-43,22-001,JUTIAPA,JUTIAPA,'LICEO JUTIAPA',4A. CALLE 1-53 ZONA 1,78441008,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0025-43,22-001,JUTIAPA,JUTIAPA,EOUM,BARRIO EL CONDOR,78443473,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0026-43,22-003,JUTIAPA,JUTIAPA,EOUM TIPO FEDERACION SALOMON CARRILLO RAMIREZ,BARRIO LA FEDERAL,78443673,SANDRA NINETH BONILLA ARCHILA,FABIOLA DEL CARMEN MOREIRA SALGUERO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0027-43,22-001,JUTIAPA,JUTIAPA,EOUN LORENZO MONTUFAR,"5A. CALLE 4-61, ZONA 1",78441846,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0028-43,22-001,JUTIAPA,JUTIAPA,COLEGIO 'TECNICO PROFESIONAL SAN CRISTOBAL',7A. CALLE 5-30 ZONA 1 BARRIO LATINO,78591186,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,,PRIMARIA,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0029-43,22-037,JUTIAPA,JUTIAPA,COLEGIO EVANGELICO VIDA NUEVA,"ENTRADA AL COMPLEJO EDUCATIVO 0-16, ZONA 3",78441907,REMBERTO RECINOS SARCEÑO,MAYRA JANNETH FLORIAN RAMOS,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0030-43,22-001,JUTIAPA,JUTIAPA,COLEGIO PARTICULAR MIXTO SAN MIGUEL,2A. CALLE 5-98 ZONA 3,77270508,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,MILVIA MARITZA MARROQUÍN CARDONA DE LÓPEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0031-44,22-001,JUTIAPA,JUTIAPA,EOPA,"CALLE 15 DE SEPTIEMBRE, 4-71 ZONA 1",78441825,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),JUTIAPA
,22-01-0032-44,,JUTIAPA,JUTIAPA,EOPA ANEXA A COLEGIO 'SAN MIGUEL',"6A. CALLE 4-74, ZONA 1",,,,PRIMARIA DE ADULTOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,FIN DE SEMANA,JUTIAPA
,22-01-0033-43,22-014,JUTIAPA,JUTIAPA,EORM,ALDEA LOS APANTES,58430802,MARCO TULIO CASTILLO MELGAR,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0034-43,22-014,JUTIAPA,JUTIAPA,EORM,"CASERIO MAL PASO, CANTON SAN MARCOS",,MARCO TULIO CASTILLO MELGAR,.,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0035-43,22-006,JUTIAPA,JUTIAPA,EORM,"CASERIO ANIMAS, ALDEA SAN ANTONIO",58624138,RONY ESTUARDO SANDOVAL MEDINA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0036-43,22-008,JUTIAPA,JUTIAPA,EORM,ALDEA JICARO GRANDE,54672131,EMMANUEL MONZON HERRERA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
,22-01-0037-43,22-006,JUTIAPA,JUTIAPA,EORM,"CASERIO SAN FRANCISCO, CANTON LA MAJADA",,RONY ESTUARDO SANDOVAL MEDINA,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
