NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,17-01-0001-42,17-001,PETEN,FLORES,EODP ZOILA ESPERANZA PUGA DE JIMENEZ,SANTA ELENA DE LA CRUZ,79262577,SERGIO LUIS LEIVA,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0002-42,17-001,PETEN,FLORES,EODP AIDA VADILLO DE PINELO,CIUDAD FLORES,,SERGIO LUIS LEIVA,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0004-44,17-001,PETEN,FLORES,EOPA,BARRIO SANTA ELENA,,SERGIO LUIS LEIVA,,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),PETÉN
,17-01-0005-43,17-001,PETEN,FLORES,"EOUM ""J MIGUEL CASTELLANOS PACHECO""",PETEN,78775308,SERGIO LUIS LEIVA,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0006-42,17-001,PETEN,FLORES,EODP JOSE BENITEZ GOMEZ,SANTA ELENA,58516903,SERGIO LUIS LEIVA,ROSITA DEL CARMEN MORALES MAR,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0006-43,17-001,PETEN,FLORES,"EOUM JM, TIPO FEDERACION JOSE BENITEZ GOMEZ",ALDEA SANTA ELENA DE LA CRUZ,79262390,SERGIO LUIS LEIVA,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0008-42,17-001,PETEN,FLORES,EODP MAESTRA NEYDI MARISOL CAMBRANES BURGOS DE GOMEZ,ALDEA PAXCAMAN,55852008,SERGIO LUIS LEIVA,---,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0008-43,17-001,PETEN,FLORES,EORM PROFESOR JUAN CONCEPCION ARELLANO MARIN,ALDEA PAXCAMAN,40122782,SERGIO LUIS LEIVA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0009-43,17-001,PETEN,FLORES,EORM,ALDEA EL NARANJO,,SERGIO LUIS LEIVA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0010-42,17-001,PETEN,FLORES,EODP,ALDEA SAN MIGUEL,59304024,SERGIO LUIS LEIVA,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0010-43,17-001,PETEN,FLORES,EORM CESARIO CETINA,ALDEA SAN MIGUEL,54821637,SERGIO LUIS LEIVA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0011-43,17-001,PETEN,FLORES,EORM,CASERIO ALTAMIRA,56987867,SERGIO LUIS LEIVA,HERBERT LEAL,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0012-43,17-001,PETEN,FLORES,EORM,ALDEA SOCOTZAL,47231797,SERGIO LUIS LEIVA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0013-43,17-001,PETEN,FLORES,EOUM MARTA ROSA MORALES CETINA,ALDEA SANTA ELENA,42809952,SERGIO LUIS LEIVA,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0014-43,17-001,PETEN,FLORES,EORM,ALDEA EL ZAPOTE,51514853,SERGIO LUIS LEIVA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0015-43,17-001,PETEN,FLORES,EORM,ALDEA EL REMATE,,SERGIO LUIS LEIVA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0016-43,17-001,PETEN,FLORES,EORM,ALDEA UAXACTUN,53119938,SERGIO LUIS LEIVA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0017-43,17-001,PETEN,FLORES,EORM,ALDEA MACANCHE,42471084,SERGIO LUIS LEIVA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0018-43,17-001,PETEN,FLORES,EORM,CASERIO LOS TULIPANES,,SERGIO LUIS LEIVA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0019-43,17-001,PETEN,FLORES,EORM,CASERIO LAS VIÑAS,,SERGIO LUIS LEIVA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0020-43,17-001,PETEN,FLORES,EORM PROFESOR LUIS ALBERTO CASTELLANOS CORZO,ALDEA EL CAOBA,49968268,SERGIO LUIS LEIVA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0022-43,17-001,PETEN,FLORES,EORM,CASERIO EL CAPULINAR,42122294,SERGIO LUIS LEIVA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0024-43,17-001,PETEN,FLORES,EORM,CASERIO IXLU,36110651,SERGIO LUIS LEIVA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0026-43,17-001,PETEN,FLORES,EORM,CASERIO YAXHA,,SERGIO LUIS LEIVA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0027-43,17-001,PETEN,FLORES,EORM,ALDEA SANTA ELENA,,SERGIO LUIS LEIVA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
,17-01-0029-43,17-001,PETEN,FLORES,EORM,CASERIO EL PORVENIR,41968893,SERGIO LUIS LEIVA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0030-42,17-001,PETEN,FLORES,EODP,"13 AVENIDA 2-47 ZONA 2, TERCERA LOTIFICACION SANTA ELENA",55953453,SERGIO LUIS LEIVA,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0030-43,17-001,PETEN,FLORES,EORM,"13 AVE. 2-47 ZONA 2, TERCERA LOTIFICACION, SANTA ELENA",58577117,SERGIO LUIS LEIVA,HECTOR GUZMAN MORALES,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0031-43,17-001,PETEN,FLORES,EORM,CASERIO LA MAQUINA,,SERGIO LUIS LEIVA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0032-43,17-001,PETEN,FLORES,CPUM SANTA ELENA DE LA CRUZ,ALDEA SANTA ELENA,79248285,SERGIO LUIS LEIVA,,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
,17-01-0033-43,17-001,PETEN,FLORES,COLEGIO EVANGELICO BETHESDA,4A CALLE A 6-34 ZONA 1 ALDEA SANTA ELENA,79261179,SERGIO LUIS LEIVA,,PRIMARIA,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0033-45,,PETEN,FLORES,IPMB 'BETHESDA',"4A. CALLE 'A' 6-34, ZONA 1, SANTA ELENA",,,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
,17-01-0034-45,17-001,PETEN,FLORES,CENTRO EDUCATIVO PETEN (CEP),BARRIO SANTA ELENA,42509151,SERGIO LUIS LEIVA,HAYDEÉ DALILA CARRANZA TAMBITO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0035-45,,PETEN,FLORES,IPMB INSTITUTO PARTICULAR MIXTO NOCTURNO 'DIEGO AMERICO CETINO PACHECO',BARRIO SANTA ELENA,,,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),PETÉN
,17-01-0035-46,17-001,PETEN,FLORES,INSTITUTO PRIVADO DE EDUCACION DIVERSIFICADA DIEGO AMERICO CETINA PACHECO,BARRIO SANTA ELENA,,SERGIO LUIS LEIVA,,DIVERSIFICADO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),PETÉN
,17-01-0036-45,17-001,PETEN,FLORES,INSTITUTO MIXTO LA PARROQUIA,BARRIO SANTA ELENA DE LA CRUZ,79261540,SERGIO LUIS LEIVA,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN
,17-01-0037-45,17-001,PETEN,FLORES,INEBE ADSCRITO ESCUELA NORMAL RURAL NO. 5 JULIO E. ROSADO PINELO,SANTA ELENA,78425736,SERGIO LUIS LEIVA,BAYRON CONTRERAS,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN
,17-01-0039-45,,PETEN,FLORES,IPMB 'CIENCIAS COMERCIALES' Y ACADEMIA ANEXA,BARRIO SANTA ELENA,,,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),PETÉN
