NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,09-01-0001-41,09-004,QUETZALTENANGO,QUETZALTENANGO,COPB ANEXO A EORM JOSE MARTI,ALDEA SAN JOSE CHIQUILAJA,34635303,DINA RUBI GONZALEZ DE LEON,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
,09-01-0002-42,09-006,QUETZALTENANGO,QUETZALTENANGO,EPDP ANEXA A COLEGIO 'LICEO ALTENSE',8A CALLE 4-10 ZONA 1,77612629,PEDRO GERÓNIMO SARAT CHAJ,,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
,09-01-0003-42,09-036,QUETZALTENANGO,QUETZALTENANGO,EPDP 'ALDEA INFANTIL S.O.S.',22 AVE. 2-61 ZONA 3,77612372,OBDULIO ROLANDO RUIZ ALVA,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
,09-01-0004-42,09-036,QUETZALTENANGO,QUETZALTENANGO,COLEGIO ALIANZA,"DIAGONAL 11 D12-03 ZONA 1,",77610760,OBDULIO ROLANDO RUIZ ALVA,GUILLERMO ALFREDO ARCHILA VALDÉZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
,09-01-0005-42,,QUETZALTENANGO,QUETZALTENANGO,EPDP ANEXA A COLEGIO 'AMERICANO',AVE JESUS CASTILLO A-74 ZONA 1,77630189,,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
,09-01-0006-42,09-006,QUETZALTENANGO,QUETZALTENANGO,EPDP ANEXA A COLEGIO 'BETHEL',14 AVENIDA 0-69 ZONA 1,77631342,PEDRO GERÓNIMO SARAT CHAJ,,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
,09-01-0007-42,09-006,QUETZALTENANGO,QUETZALTENANGO,EPDP ANEXA A COLEGIO 'BETHANIA',CALLE 'C' 0-22 ZONA 1,77630164,PEDRO GERÓNIMO SARAT CHAJ,,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
,09-01-0008-42,09-006,QUETZALTENANGO,QUETZALTENANGO,ANEXA A COLEGIO 'CAPULLITOS',20 AVENIDA 1-16 ZONA 1,77612031,PEDRO GERÓNIMO SARAT CHAJ,NORMA JUDIT GONZÁLEZ LICARDIÉ DE ANCHETA,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
,09-01-0009-42,,QUETZALTENANGO,QUETZALTENANGO,EPDP ANEXA A COLEGIO EVANGELICO 'EL CAMINO',5A CALLE 14-48 ZONA 3,77674794,,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
,09-01-0010-42,09-041,QUETZALTENANGO,QUETZALTENANGO,COLEGIO PARA SEÑORITAS ENCARNACION ROSAL,12 AVE. 3-09 ZONA 1,77258985,WILSON RANFERI SIGUENZA LOPEZ,SARA JULIETA LÓPEZ MARTINEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
,09-01-0011-42,09-006,QUETZALTENANGO,QUETZALTENANGO,EPDP ANEXA A COLEGIO 'GUATEMALTECO ALEMAN FEDERICO FROEBEL',7A. CALLE 12-51 ZONA 3,,PEDRO GERÓNIMO SARAT CHAJ,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
,09-01-0012-42,09-006,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO EVANGELICO DE OCCIDENTE,4A CALLE 25-92 ZONA 1,77654062,PEDRO GERÓNIMO SARAT CHAJ,YENSY ROBERTO DÍAZ SOLIS,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
