NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,14-01-0001-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,ALDEA LA ESTANCIA,50146436,CANDELARIO ORDOÑEZ REINOSO,IRIS ROSIBEL ESTRADA HERNÁNDEZ DE PILARTE,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-01-0002-41,,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,ALDEA SAN SEBASTIAN LEMOA,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-01-0003-41,14-001,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,CANTON PANAJXIT I,47352355,JOSE OSCAR TIPAZ VELASQUEZ,ENRIQUE MIGUEL ANGEL PÉREZ DAMIÁN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-01-0004-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,CANTON PACHO ALDEA LEMOA,42567716,CANDELARIO ORDOÑEZ REINOSO,ALVARO ARMANDO CHACAJ CHACAJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-01-0005-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,CANTON XESIC PRIMERO,30642160,CANDELARIO ORDOÑEZ REINOSO,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-01-0006-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,CASERÍO XATINAP PRIMERO,47566846,CANDELARIO ORDOÑEZ REINOSO,AVELINO ARMANDO LEÓN ZACARÍAS,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-01-0007-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,CANTON CUCABAJ II,54759797,CANDELARIO ORDOÑEZ REINOSO,WENDY ELIZABETH GÓMEZ MARROQUIN DE NORIEGA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-01-0008-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,CANTON PAMESEBAL III CENTRO,,CANDELARIO ORDOÑEZ REINOSO,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-01-0009-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,"CANTON PACAJA, ALDEA LEMOA",58958237,CANDELARIO ORDOÑEZ REINOSO,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-01-0010-41,14-001,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,"CANTON PANAJXIT II, ALDEA PANAJXIT",,JOSE OSCAR TIPAZ VELASQUEZ,JAIME ANDRÉS MOTTA LÓPEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-01-0011-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,"CANTON PACHO CHICALTE, ALDEA LEMOA",32558114,CANDELARIO ORDOÑEZ REINOSO,APOLINARIO LÓPEZ PÉREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-01-0012-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,CANTON CUCABAJ I,,CANDELARIO ORDOÑEZ REINOSO,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-01-0013-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,CANTON XATINAP CUARTO CENTRO,,CANDELARIO ORDOÑEZ REINOSO,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-01-0014-41,14-002,QUICHE,SANTA CRUZ DEL QUICHE,COPB ANEXO A EORM,XATINAP TERCER CENTRO,,CANDELARIO ORDOÑEZ REINOSO,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-01-0015-42,14-001,QUICHE,SANTA CRUZ DEL QUICHE,EODP 'MARIA MONTESSORI',2A. AVENIDA 7-06 ZONA 5,58695641,JOSE OSCAR TIPAZ VELASQUEZ,SHIRLEY YOHANA GODINEZ GÓMEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-01-0016-42,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO EVANGELICO METODISTA UTATLAN,"4A CALLE Y 6-12,ZONA 5",77551551,GONZALO VENTURA LUX,LUIS HUMBERTO ECHEVERRÍA GIL,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-01-0017-42,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO ADVENTISTA DR. BRAULIO PEREZ MARCIO,6A AVE. 0-66 ZONA 1,77551760,GONZALO VENTURA LUX,MAYDELINE JOCABED GIRÓN PÉREZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-01-0019-42,14-036,QUICHE,SANTA CRUZ DEL QUICHE,LICEO CRISTIANO SINAI,"CASA FINAL,COLONIA GUMARCAAJ",77551805,GONZALO VENTURA LUX,,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-01-0020-44,14-001,QUICHE,SANTA CRUZ DEL QUICHE,EOPA,9A AV Y 2A. CALLE ZONA 3,58958012,JOSE OSCAR TIPAZ VELASQUEZ,MARIO CARLOS ROBERTO GIRÓN URIZAR,PRIMARIA DE ADULTOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUICHÉ
