NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,03-01-0001-42,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO MIXTO CONSTANCIO C.VIGIL,2A. AVENIDA SUR N.3,78320154,ZOILA ESTHELA JONFE OROZCO,MARIA ELENA ANZUETO BARDALES DE POLANCO,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
,03-01-0002-42,03-009,SACATEPEQUEZ,ANTIGUA GUATEMALA,EODP,ALDEA SANTA CATARINA BOBADILLA,30545726,AURA MARINA LORENZO SAGCHE,--,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
,03-01-0003-42,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,LICEO MIXTO BILINGUE ANGEL GABRIEL,1ERA CALLE PONIENTE FINAL NUMERO 61,78327439,ZOILA ESTHELA JONFE OROZCO,YANSI PATRICIA MOLINA JIMENEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
,03-01-0004-42,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,EODP ANEXA A EORM 'TIPO MINIMO',CANTON EL LLANO ZONA 2 ALDEA SAN FELIPE DE JESUS,78311457,JORGE OTONIEL CRUZ SAL,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
,03-01-0005-42,03-009,SACATEPEQUEZ,ANTIGUA GUATEMALA,EODP ANEXA A EORM,ALDEA SANTA ANA,55580894,AURA MARINA LORENZO SAGCHE,--,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
,03-01-0006-42,03-009,SACATEPEQUEZ,ANTIGUA GUATEMALA,EODP ANEXA A EORM FRANCISCO MARROQUIN,ALDEA SAN JUAN DEL OBISPO,,AURA MARINA LORENZO SAGCHE,--,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
,03-01-0007-42,03-009,SACATEPEQUEZ,ANTIGUA GUATEMALA,EODP ANEXA A EORM,PRIMER CANTON ALDEA SAN PEDRO LAS HUERTAS,,AURA MARINA LORENZO SAGCHE,--,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
,03-01-0008-42,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO MIXTO INTEGRAL SANTIAGO,LOTIFICACION EL COROZAL NO. 6-7 ALDEA SANTA ANA,78325188,ZOILA ESTHELA JONFE OROZCO,,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
,03-01-0009-42,03-003,SACATEPEQUEZ,ANTIGUA GUATEMALA,ESCUELA CRISTIANA VERBO,COLONIA LAS VICTORIAS LOTE D-2,78322976,MIRNA CONSUELO VEGA SEMITE DE GOMEZ,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
,03-01-0010-42,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO MIXTO SANTIAGO DE LOS CABALLEROS,"LOTIFICACION SAN PEDRO EL PANORAMA LOTES 67,68,Y 69",41478868,ZOILA ESTHELA JONFE OROZCO,LUIS FELIPE CONTRERAS QUINTANILLA,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ
