NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,12-01-0001-42,12-002,SAN MARCOS,SAN MARCOS,"EODP NO. 1 ""FRANCISCA SANDOVAL""",7A. AVENIDA 5-74 ZONA 2,55315928,CARLOS HUMBERTO LOPEZ DE LEON,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
,12-01-0002-42,12-002,SAN MARCOS,SAN MARCOS,EODP NO. 2 'GEORGINA RODAS DE ESCOBAR',AVE. EL REFORMADOR COLONIA JUSTO RUFINO BARRIOS ZONA 5,77605574,CARLOS HUMBERTO LOPEZ DE LEON,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
,12-01-0003-42,12-100,SAN MARCOS,SAN MARCOS,COLEGIO PARTICULAR MIXTO SAGRADO CORAZON,10A. AVENIDA 9-71 ZONA 3,77601164,JORGE EBERTO SOLORZANO SANCHEZ,CARLOS FRANCISCO AVILA DE LEON,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
,12-01-0004-42,12-002,SAN MARCOS,SAN MARCOS,COLEGIO EVANGELICO MIXTO NAZARENO,15 AVENIDA 5-36 ZONA 5,44656690,CARLOS HUMBERTO LOPEZ DE LEON,ENNA DEL CARMEN GIRON RODRIGUEZ DE RIOS,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
,12-01-0006-42,12-002,SAN MARCOS,SAN MARCOS,"COLEGIO ""SAN MARCOS""","6A. AVENIDA, 4-92 ZONA 2",77604147,CARLOS HUMBERTO LOPEZ DE LEON,CAROLINA PATRICIA MARTÍNEZ TRUJILLO,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
,12-01-0007-42,12-002,SAN MARCOS,SAN MARCOS,COLEGIO LA ASUNCIÓN,5A. CALLE FINAL 15-575 ZONA 5,77605316,CARLOS HUMBERTO LOPEZ DE LEON,ROSALINA TEODORA BAQUIAX VÁSQUEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
,12-01-0008-42,12-002,SAN MARCOS,SAN MARCOS,EODP ANEXA A EORM JULIA REBECA DE CANCINOS,ALDEA LAS LAGUNAS,,CARLOS HUMBERTO LOPEZ DE LEON,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
,12-01-0009-42,12-002,SAN MARCOS,SAN MARCOS,EODP,ALDEA SAN RAFAEL SOCHE,54104765,CARLOS HUMBERTO LOPEZ DE LEON,MILDRED LORENA BARRIOS OCHOA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
,12-01-0010-43,12-002,SAN MARCOS,SAN MARCOS,EOUN TIPO FEDERACION 'DR. ULISES ROJAS BENFELL',2A. AVENIDA Y 11 CALLE ZONA 1,55596615,CARLOS HUMBERTO LOPEZ DE LEON,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
,12-01-0011-43,12-002,SAN MARCOS,SAN MARCOS,EOUM DE APLICACION 'NACIONES UNIDAS',12 AVENIDA 8-48 ZONA 3,31191046,CARLOS HUMBERTO LOPEZ DE LEON,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
