NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,06-01-0001-42,06-001,SANTA ROSA,CUILAPA,EODP,ALDEA LOS ESCLAVOS,42197941,IRMA YOLANDA CHACON ARROYO,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0002-42,06-001,SANTA ROSA,CUILAPA,EODP EMILIA MEYER,1A AVENIDA 4-35 ZONA 4,78866523,IRMA YOLANDA CHACON ARROYO,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0006-43,06-001,SANTA ROSA,CUILAPA,EOUM TIPO FEDERACION DOMINGO FAUSTINO SARMIENTO,"4A. CALLE 4-03 ZONA 4, BARRIO EL LLANITO",42041137,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0007-43,06-001,SANTA ROSA,CUILAPA,EOUM TIPO FEDERACION DOMINGO FAUSTINO SARMIENTO,BARRIO EL LLANITO,55124030,IRMA YOLANDA CHACON ARROYO,ELISA REBECA MARTINEZ ROCA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0008-43,06-001,SANTA ROSA,CUILAPA,EORM,PARCELAMIENTO LA CUARENTISEIS,,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0009-43,06-001,SANTA ROSA,CUILAPA,EOUM VICTOR MANUEL MONTERROSO GRANADOS,BARRIO EL CALVARIO,78865221,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0010-43,06-001,SANTA ROSA,CUILAPA,EORM,ALDEA LAGUNA DE SAN JOSE,56309755,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0011-43,06-001,SANTA ROSA,CUILAPA,EORM,ALDEA PLAN DEL AMATE,,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0012-43,06-001,SANTA ROSA,CUILAPA,EORM,ALDEA PLAN DE AVILA,,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0013-43,06-001,SANTA ROSA,CUILAPA,EORM,ALDEA CUESTA GRANDE,,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0014-43,06-001,SANTA ROSA,CUILAPA,EORM,ALDEA LAGUNA SECA,58569709,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0015-43,06-001,SANTA ROSA,CUILAPA,EORM,ALDEA EL PINITO,,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0016-43,06-001,SANTA ROSA,CUILAPA,EORM,ALDEA MONTECILLOS,41280298,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0017-43,06-001,SANTA ROSA,CUILAPA,EORM,ALDEA JOYA DE LIMON,,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0018-43,06-001,SANTA ROSA,CUILAPA,EORM,ALDEA LOS MATOCHOS,,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0019-43,06-001,SANTA ROSA,CUILAPA,EORM,ALDEA BARILLAS,,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0020-43,06-001,SANTA ROSA,CUILAPA,EORM,ALDEA EL MOLINO,,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0021-43,06-001,SANTA ROSA,CUILAPA,EORM,ALDEA SAN JUAN DE ARANA,56169711,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0022-43,06-001,SANTA ROSA,CUILAPA,EORM LIC. GUILLERMO FERNANDEZ LLERENA,ALDEA LOS ESCLAVOS,54860165,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0023-42,06-001,SANTA ROSA,CUILAPA,EODP ANEXA A EORM EL CIELITO,ALDEA EL CIELITO,,IRMA YOLANDA CHACON ARROYO,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0023-43,06-001,SANTA ROSA,CUILAPA,EORM,ALDEA EL CIELITO,56996432,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0024-43,06-001,SANTA ROSA,CUILAPA,EORM,ALDEA RODEO EL MOLINO,,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0025-43,06-001,SANTA ROSA,CUILAPA,EORM,ALDEA SAN JOSE EL ROSARIO,,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0026-43,06-001,SANTA ROSA,CUILAPA,EORM,ALDEA NUEVA PROVIDENCIA,,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0027-43,06-001,SANTA ROSA,CUILAPA,EORM,ALDEA GUACAMAYAS VILLA LAURA,,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0028-43,06-001,SANTA ROSA,CUILAPA,EPRM,FINCA LA SONRISA,,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
