NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,07-01-0001-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,ALDEA PIXABAJ,39945426,CARLOS RIGOBERTO POS TUY,MAYRA JUDITH CUMES SALOJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0001-45,07-019,SOLOLA,SOLOLA,"LICEO TECNOLOGICO BILINGUE ""CUAUHTEMALLAN DE SOLOLA""","7 CALLE 3-25 ZONA 1, BARRIO SAN ANTONIO",35923669,ESTELA BEN AJCALÓN DE TUY,MOISES GUARCAX CHIROY,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0002-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO EL TRIUNFO, CANTON PUJUJIL II",49506402,CARLOS RIGOBERTO POS TUY,JUAN LUÍS GARCÍA VELÁSQUEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0003-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO EL ENCANTO ALDEA PUJUJIL II,51219555,CARLOS RIGOBERTO POS TUY,JUAN YAXÓN TZORÍN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0004-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO LA FE, ALDEA PUJUJIL II",47946822,CARLOS RIGOBERTO POS TUY,CARLOS ROBERTO JULAJUJ ANTONIO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0005-41,07-004,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO LA UNION, ALDEA ARGUETA",44490148,VÍCTOR MIGUEL MENCHÚ MENCHÚ,EUSEBIO ANDRÉS PAR LÓPEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0006-41,07-004,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO COXOM ALDEA ARGUETA,44324142,VÍCTOR MIGUEL MENCHÚ MENCHÚ,HEIDY MARICELA TUNAY VÁSQUEZ DE YAXÓN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0007-41,07-005,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO LA ILUSION, CANTON CHUIQUEL",32971776,JUSTO SANTIAGO PONCIO PÚ,CARMEN AJCALÓN AJQUICHÍ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0009-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO SACBOCHOL, ALDEA LOS ENCUENTROS",54969892,CARLOS RIGOBERTO POS TUY,LIDIA PONCIO YAX,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0010-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERÍO SAN JUAN, ALDEA PIXABAJ",57309419,CARLOS RIGOBERTO POS TUY,PABLO JEATZ POCOP,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0011-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO CHUICACASTE, ALDEA PIXABAJ",51910575,CARLOS RIGOBERTO POS TUY,ALICIA NOHEMÍ SALOJ VÁSQUEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0012-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO MARIA TECUN, ALDEA PIXABAJ",31371552,CARLOS RIGOBERTO POS TUY,OLGA MERCEDES CUC MORALES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0013-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO EL ROSARIO, ALDEA LOS ENCUENTROS",55636260,CARLOS RIGOBERTO POS TUY,SANTOS COSIGUÁ COJTÍN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0014-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO SAN FRANCISCO, ALDEA LOS ENCUENTROS",41863722,CARLOS RIGOBERTO POS TUY,PEDRO BENIGNO CHOLOTÍO PÉREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0015-41,07-004,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO CHIRIJIXIM ALDEA SAN JUAN ARGUETA,,VÍCTOR MIGUEL MENCHÚ MENCHÚ,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0016-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO EL ADELANTO ALDEA PUJUJIL II,58733793,CARLOS RIGOBERTO POS TUY,ROMEO ANTONIO LINARES URIZAR,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0017-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO EL MIRADOR, ALDEA PUJUJIL II",59497443,CARLOS RIGOBERTO POS TUY,JERÓNIMO SALOJ TUY,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0018-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO CHUACORRAL, ALDEA PIXABAJ",56124942,CARLOS RIGOBERTO POS TUY,JUAN CHIPÍN CHIROY,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0019-41,07-004,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO LOS YAXON, ALDEA CHAQUIJYA",54859552,VÍCTOR MIGUEL MENCHÚ MENCHÚ,IRMA YOLANDA TEPAS JIATZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0021-41,07-003,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO LOS CHURUNELES I ALDEA PUJUJIL II,,VÍCTOR CHUMIL CHIROY,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0022-41,07-003,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO XIBALBAY, CANTON CHAQUIJYA",47875775,VÍCTOR CHUMIL CHIROY,SIMEÓN CHUMIL CHUMIL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0023-41,07-004,SOLOLA,SOLOLA,COPB ANEXO A EORM,ALDEA CHUIQUEL,50625727,VÍCTOR MIGUEL MENCHÚ MENCHÚ,MARIO COSIGUÁ CHUMIL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0024-41,07-004,SOLOLA,SOLOLA,COPB ANEXO A EORM,ALDEA ARGUETA,56361381,VÍCTOR MIGUEL MENCHÚ MENCHÚ,OBISPO GREGORIO PECH TAX,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0025-41,07-004,SOLOLA,SOLOLA,COPB ANEXO A EORM,ALDEA MARÍA TECÚN ALAYO,30240723,VÍCTOR MIGUEL MENCHÚ MENCHÚ,JUANA FELIZA TUMAX CANIZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0026-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,ALDEA LOS ENCUENTROS,51905771,CARLOS RIGOBERTO POS TUY,MILDRED KARINA SARAZÚA AVENDAÑO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0027-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO PAQUISIS, ALDEA PIXABAJ",53580817,CARLOS RIGOBERTO POS TUY,NERY OSWALDO GIOVANNI JULAJUJ PILÓ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0028-41,07-003,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO LOS CHURUNELES II ALDEA PUJUJIL II,,VÍCTOR CHUMIL CHIROY,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0029-43,07-002,SOLOLA,SOLOLA,EORM,"CASERIO EL ROSARIO, ALDEA LOS ENCUENTROS",55636260,CARLOS RIGOBERTO POS TUY,SANTOS COSIGUÁ COJTÍN,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0030-43,07-002,SOLOLA,SOLOLA,EORM,"CASERIO EL TRIUNFO, ALDEA PUJUJIL II",51572332,CARLOS RIGOBERTO POS TUY,JUAN LUÍSGARCÍA VELÁSQUEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0031-43,07-003,SOLOLA,SOLOLA,EORM,CASERIO CHURUNELES II ALDEA PUJUJIL II,41963925,VÍCTOR CHUMIL CHIROY,AURA MARINA MENDOZA AJU,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0032-43,07-002,SOLOLA,SOLOLA,EORM,CASERIO EL ENCANTO CANTON PUJUJIL II,51219555,CARLOS RIGOBERTO POS TUY,JUAN YAXÓN TZORÍN,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0033-43,07-002,SOLOLA,SOLOLA,EORM,"CASERÍO LA FE, CANTÓN PUJUJIL II",47946822,CARLOS RIGOBERTO POS TUY,CARLOS ROBERTO JULAJUJ ANTONIO,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0034-43,07-004,SOLOLA,SOLOLA,EORM,"CASERIO LA UNION, ALDEA SAN JUAN ARGUETA",44490148,VÍCTOR MIGUEL MENCHÚ MENCHÚ,EUSEBIO ANDRÉS PAR LÓPEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0035-43,07-004,SOLOLA,SOLOLA,EORM,CASERIO COXOM ALDEA SAN JUAN ARGUETA,57722295,VÍCTOR MIGUEL MENCHÚ MENCHÚ,HEIDY MARICELA TUNAY VÁSQUEZ DE YAXÓN,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0036-43,07-005,SOLOLA,SOLOLA,EORM,"CASERIO LA ILUSION, CANTON CHUIQUEL",32971776,JUSTO SANTIAGO PONCIO PÚ,CARMEN AJCALÓN AJQUICHÍ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0037-43,07-002,SOLOLA,SOLOLA,EORM,"CASERIO SAN BUENA VENTURA, ALDEA PIXABAJ",30908886,CARLOS RIGOBERTO POS TUY,ELVA PATRICIA QUENUN BUCH,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0038-43,07-002,SOLOLA,SOLOLA,EORM,"CASERIO SAN JUAN, ALDEA PIXABAJ",57309419,CARLOS RIGOBERTO POS TUY,PABLO JEATZ POCOP,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
,07-01-0039-43,07-002,SOLOLA,SOLOLA,EORM,ALDEA PIXABAJ,39945426,CARLOS RIGOBERTO POS TUY,MAYRA JUDITH CUMES SALOJ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
