NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,08-01-0001-41,08-002,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM,ALDEA CHIPUAC,77665194,JOSÉ VICTOR CHAMORRO HUITZ,JUAN ANTONIO PUAC GARCIA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
,08-01-0002-41,08-004,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM,PARAJE CHICHACLAN CANTON PAQUI,50413667,FRANCISCO RECINO XALIX SAY,ARACELY ELIZABETH CHAMORRO ALVARADO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
,08-01-0003-41,08-005,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM,PARAJE PATUJ CANTON PANQUIX,59368109,ROBERTO APARICIO RECINOS VALDEZ,GREGORIO GASPAR PUAC GARCÍA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
,08-01-0004-41,08-004,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM MANUEL GARCIA ELGUETA,CANTON CHOTACAJ,77664033,FRANCISCO RECINO XALIX SAY,LUCIA FRANCISCA PU TZIC ROSALES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
,08-01-0005-41,08-001,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM,PARAJE XENAJTAJUYUP CANTON CHIYAX,47101653,MIGUEL AJPOP VÁSQUEZ,OSCAR ALEJANDRO GARCIA VELASQUEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
,08-01-0006-41,08-006,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM,CANTON TZANIXNAM,51869205,RENE OSWALDO TOYOM JUAREZ,GERMAN SAMUEL LÓPEZ PIVARAL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
,08-01-0007-41,08-001,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM TECUN UMAN,CANTON CHIYAX,57877867,MIGUEL AJPOP VÁSQUEZ,LEANDRO RAFAEL YAX TAX,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
,08-01-0008-41,08-006,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM MANUEL R. ESPADA,CANTON PACHOC,33328665,RENE OSWALDO TOYOM JUAREZ,ROLANDO CHACLÁN BATZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
,08-01-0010-41,08-004,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM OSCAR DE LEON PALACIOS,CANTON POXLAJUJ,58586897,FRANCISCO RECINO XALIX SAY,MARITZA VERALY CIFUENTES ARRIOLA DE ARANGO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
,08-01-0011-41,08-003,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM RAFAEL ALVAREZ OVALLE,ALDEA CHUCULJUYUP,58881047,GLADYS ESPERANZA PACHECO GUTIERREZ,JOSE PEDRO GARCIA LACAN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
,08-01-0012-41,08-001,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM,CANTON XANTUN,30835539,MIGUEL AJPOP VÁSQUEZ,MARTÍN ANTONIO CHUC GUTIERREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
,08-01-0013-41,08-005,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM,ALDEA LA ESPERANZA,55812933,ROBERTO APARICIO RECINOS VALDEZ,APOLONIA BERNARDINA PAR MAZARIEGOS DE VÁSQUEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
,08-01-0014-41,08-003,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM JESUS CARRANZA JUAREZ,CANTON CHUISUC,51503974,GLADYS ESPERANZA PACHECO GUTIERREZ,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
,08-01-0015-41,08-005,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM,PARAJE CHUICAXTUN CANTON CHIYAX,40084237,ROBERTO APARICIO RECINOS VALDEZ,MANUELA CATARINA CANIZ PACHECO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
,08-01-0016-41,08-003,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM MAYA QUICHE,ALDEA CHUANOJ,45362596,GLADYS ESPERANZA PACHECO GUTIERREZ,HERCULADO JUAN BARRENO MENCHÚ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
,08-01-0017-41,08-003,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM JUSTO RUFINO BARRIOS,PARAJE COXOM CANTON PATZARACMAC,48111878,GLADYS ESPERANZA PACHECO GUTIERREZ,FELIPE FERNANDO ROSALES RAMOS,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
,08-01-0019-41,08-003,TOTONICAPAN,TOTONICAPAN,COPB ANEXO A EORM,PARAJE CHITAX CANTON PATZARAJMAC,41694186,GLADYS ESPERANZA PACHECO GUTIERREZ,DEMETRIA MAGDALENA PÚAC MENCHÚ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN
