NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,19-01-0001-42,19-001,ZACAPA,ZACAPA,EODP DR. ALFREDO CARRILLO RAMIREZ,"15 AVENIDA 3-08 ZONA 1, BARRIO LA PARROQUIA",79410315,SONIA HAYDEE RUIZ WONG,MARICELA BEATRIZ SALGUERO RAMOS DE FRANCO,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
,19-01-0002-42,19-001,ZACAPA,ZACAPA,EODP,8A. CALLE ESQUINA 1-25 ZONA 2 BARRIO LA ESTACION,42894329,SONIA HAYDEE RUIZ WONG,JEANNE KARINA ROMERO RUIZ SALAZAR,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
,19-01-0003-42,19-001,ZACAPA,ZACAPA,EODP,BARRIO SAN MARCOS,57697930,SONIA HAYDEE RUIZ WONG,IRMA DALILA URRUTIA YANES,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
,19-01-0004-42,19-019,ZACAPA,ZACAPA,COLEGIO MARIA INMACULADA,12 CALLE A 14-03 ZONA 1,79414064,HUGO WILFREDO VARGAS CHACON,AGNES JUDITH PRADO LORETO DE PÉREZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
,19-01-0005-42,19-019,ZACAPA,ZACAPA,COLEGIO BILINGÜE MONTESSORI,4A CALLE 3-41 ZONA 2,79410965,HUGO WILFREDO VARGAS CHACON,MILVIA ODETH MENÉNDEZ MORALES DE SETT,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
,19-01-0006-42,19-019,ZACAPA,ZACAPA,"COLEGIO PRIVADO MIXTO EVANGELICO ""ELIM""","RESIDENCIALES SHALOM, CALZADA RAMIRO DE LEÓN CARPIO",55146704,HUGO WILFREDO VARGAS CHACON,LUZ AMPARO CORDÓN VARGAS DE MEDINA,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
,19-01-0008-42,19-001,ZACAPA,ZACAPA,ESCUELA OFICIAL DE PARVULOS JM,"BARRIO LA REFORMA, ZONA 2",33170598,SONIA HAYDEE RUIZ WONG,LEILA YANIRA MONROY TOBAR DE COROY,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
,19-01-0008-43,19-001,ZACAPA,ZACAPA,EOUN NO.1 PROFA. CARLOTA WONG DE RUIZ,BARRIO LA REFORMA,79410447,SONIA HAYDEE RUIZ WONG,INGRID MARISOL SANTOS RUIZ DE VANEGAS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
,19-01-0009-42,19-001,ZACAPA,ZACAPA,ESCUELA OFICIAL URBANA MIXTA DE PARVÚLOS NO. 2,16 AV. 9-51 BARRIO TAMARINDAL ZONA 1,30204652,SONIA HAYDEE RUIZ WONG,FLOR DE MARÍA TOBAR GALINDO DE GARCÍA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
,19-01-0009-43,19-001,ZACAPA,ZACAPA,EOUV NO.2 LIC. MANUEL ROLDAN MORENO,16 AVE. 9-51 BARRIO TAMARINDAL ZONA 1,79412820,SONIA HAYDEE RUIZ WONG,INGRID MARIBEL GARCÍA HERNÁNDEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
,19-01-0010-42,19-001,ZACAPA,ZACAPA,ESCUELA OFICIAL URBANA MIXTA DE PÁRVULOS NO.1,COLONIA BOSQUES DE SAN JULIAN,59792704,SONIA HAYDEE RUIZ WONG,ANA CECILIA GARCÍA TORRES,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
